dataset,track_id,detector,precision,recall,f_measure,n_ref,n_est,meta_language,meta_singer_id,meta_annotator,meta_n_notes,meta_mic,meta_n_singers,meta_n_score_events,meta_n_unique_onsets,meta_piece,meta_ensemble
vocadito,4,madmom_cnn,0.6923076923076923,0.6521739130434783,0.6716417910447761,69,65,Catalan/Valencian,S3,a1,69.0,,,,,,
vocadito,40,spectral_flux,0.5555555555555556,0.6666666666666666,0.606060606060606,45,54,English,S9,a1,45.0,,,,,,
vocadito,40,superflux,0.6086956521739131,0.6222222222222222,0.6153846153846154,45,46,English,S9,a1,45.0,,,,,,
vocadito,40,madmom_cnn,0.7333333333333333,0.7333333333333333,0.7333333333333333,45,45,English,S9,a1,45.0,,,,,,
vocadito,5,spectral_flux,0.5726495726495726,0.6979166666666666,0.6291079812206571,96,117,Catalan/Valencian,S4,a1,96.0,,,,,,
vocadito,5,superflux,0.5789473684210527,0.5729166666666666,0.5759162303664922,96,95,Catalan/Valencian,S4,a1,96.0,,,,,,
vocadito,5,madmom_cnn,0.6276595744680851,0.6145833333333334,0.6210526315789473,96,94,Catalan/Valencian,S4,a1,96.0,,,,,,
vocadito,6,spectral_flux,0.4794520547945205,0.4794520547945205,0.4794520547945205,73,73,English,S5,a1,73.0,,,,,,
vocadito,6,superflux,0.4791666666666667,0.3150684931506849,0.38016528925619836,73,48,English,S5,a1,73.0,,,,,,
vocadito,6,madmom_cnn,0.5135135135135135,0.5205479452054794,0.5170068027210885,73,74,English,S5,a1,73.0,,,,,,
vocadito,7,spectral_flux,0.6296296296296297,0.723404255319149,0.6732673267326733,47,54,Tagalog,S6,a1,47.0,,,,,,
vocadito,7,superflux,0.7021276595744681,0.7021276595744681,0.7021276595744681,47,47,Tagalog,S6,a1,47.0,,,,,,
vocadito,7,madmom_cnn,0.782608695652174,0.7659574468085106,0.7741935483870968,47,46,Tagalog,S6,a1,47.0,,,,,,
vocadito,8,spectral_flux,0.5094339622641509,0.675,0.5806451612903226,40,53,Tagalog,S1,a1,40.0,,,,,,
vocadito,8,superflux,0.5370370370370371,0.725,0.6170212765957447,40,54,Tagalog,S1,a1,40.0,,,,,,
vocadito,8,madmom_cnn,0.775,0.775,0.775,40,40,Tagalog,S1,a1,40.0,,,,,,
vocadito,9,spectral_flux,0.6428571428571429,0.7258064516129032,0.6818181818181818,62,70,Tagalog,S6,a1,62.0,,,,,,
vocadito,9,superflux,0.5797101449275363,0.6451612903225806,0.6106870229007634,62,69,Tagalog,S6,a1,62.0,,,,,,
vocadito,9,madmom_cnn,0.7833333333333333,0.7580645161290323,0.7704918032786884,62,60,Tagalog,S6,a1,62.0,,,,,,
dagstuhl_choirset,DCS_LI_FullChoir_Take01,spectral_flux,0.19419642857142858,0.5403726708074534,0.2857142857142857,161,448,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take01,superflux,0.2675438596491228,0.37888198757763975,0.31362467866323906,161,228,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take01,madmom_cnn,0.35384615384615387,0.14285714285714285,0.20353982300884957,161,65,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take02,spectral_flux,0.2868217054263566,0.45962732919254656,0.35322195704057274,161,258,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take02,superflux,0.2832764505119454,0.515527950310559,0.3656387665198238,161,293,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take02,madmom_cnn,0.5283018867924528,0.17391304347826086,0.2616822429906542,161,53,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take03,spectral_flux,0.2691029900332226,0.5031055900621118,0.3506493506493506,161,301,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take03,superflux,0.37209302325581395,0.39751552795031053,0.3843843843843843,161,172,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_FullChoir_Take03,madmom_cnn,0.42592592592592593,0.14285714285714285,0.213953488372093,161,54,,,,,stm,8.0,426.0,161.0,LI,FullChoir
dagstuhl_choirset,DCS_LI_QuartetA_Take01,spectral_flux,0.22437673130193905,0.5031055900621118,0.3103448275862069,161,361,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take01,superflux,0.3111111111111111,0.34782608695652173,0.3284457478005865,161,180,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take01,madmom_cnn,0.3829787234042553,0.2236024844720497,0.2823529411764706,161,94,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take02,spectral_flux,0.239247311827957,0.5527950310559007,0.3339587242026266,161,372,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take02,superflux,0.335,0.4161490683229814,0.3711911357340721,161,200,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take02,madmom_cnn,0.32954545454545453,0.18012422360248448,0.2329317269076305,161,88,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take03,spectral_flux,0.20285714285714285,0.4409937888198758,0.27788649706457924,161,350,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take03,superflux,0.2597402597402597,0.37267080745341613,0.30612244897959184,161,231,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take03,madmom_cnn,0.29896907216494845,0.18012422360248448,0.22480620155038758,161,97,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take04,spectral_flux,0.20089285714285715,0.5590062111801242,0.29556650246305416,161,448,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take04,superflux,0.297029702970297,0.37267080745341613,0.3305785123966942,161,202,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take04,madmom_cnn,0.41237113402061853,0.2484472049689441,0.31007751937984496,161,97,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take05,spectral_flux,0.21448467966573817,0.4782608695652174,0.29615384615384616,161,359,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take05,superflux,0.3005181347150259,0.36024844720496896,0.3276836158192091,161,193,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take05,madmom_cnn,0.35789473684210527,0.2111801242236025,0.265625,161,95,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take06,spectral_flux,0.2572463768115942,0.4409937888198758,0.32494279176201374,161,276,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take06,superflux,0.32098765432098764,0.32298136645962733,0.3219814241486068,161,162,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetA_Take06,madmom_cnn,0.425531914893617,0.2484472049689441,0.3137254901960784,161,94,,,,,stm,4.0,426.0,161.0,LI,QuartetA
dagstuhl_choirset,DCS_LI_QuartetB_Take01,spectral_flux,0.3724696356275304,0.5714285714285714,0.45098039215686275,161,247,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take01,superflux,0.427536231884058,0.36645962732919257,0.3946488294314382,161,138,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take01,madmom_cnn,0.5445544554455446,0.3416149068322981,0.4198473282442748,161,101,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take02,spectral_flux,0.22767857142857142,0.6335403726708074,0.33497536945812806,161,448,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take02,superflux,0.3588516746411483,0.4658385093167702,0.4054054054054054,161,209,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take02,madmom_cnn,0.48360655737704916,0.36645962732919257,0.4169611307420495,161,122,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take03,spectral_flux,0.29651162790697677,0.6335403726708074,0.40396039603960404,161,344,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take03,superflux,0.3813953488372093,0.5093167701863354,0.4361702127659574,161,215,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take03,madmom_cnn,0.4954128440366973,0.33540372670807456,0.4,161,109,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take04,spectral_flux,0.2990353697749196,0.577639751552795,0.3940677966101695,161,311,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take04,superflux,0.4036144578313253,0.4161490683229814,0.40978593272171254,161,166,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take04,madmom_cnn,0.4672897196261682,0.3105590062111801,0.3731343283582089,161,107,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take05,spectral_flux,0.2615803814713896,0.5962732919254659,0.36363636363636365,161,367,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take05,superflux,0.4020618556701031,0.484472049689441,0.4394366197183099,161,194,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_LI_QuartetB_Take05,madmom_cnn,0.5346534653465347,0.33540372670807456,0.4122137404580153,161,101,,,,,stm,4.0,426.0,161.0,LI,QuartetB
dagstuhl_choirset,DCS_TP_FullChoir_Take01,spectral_flux,0.18907563025210083,0.6,0.2875399361022364,75,238,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take01,superflux,0.3037974683544304,0.32,0.3116883116883117,75,79,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take01,madmom_cnn,0.5,0.16,0.24242424242424243,75,24,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take02,spectral_flux,0.19424460431654678,0.36,0.25233644859813087,75,139,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take02,superflux,0.3333333333333333,0.26666666666666666,0.2962962962962963,75,60,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take02,madmom_cnn,0.34782608695652173,0.10666666666666667,0.16326530612244897,75,23,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take03,spectral_flux,0.35714285714285715,0.26666666666666666,0.30534351145038163,75,56,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take03,superflux,0.23880597014925373,0.21333333333333335,0.22535211267605634,75,67,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take03,madmom_cnn,0.46153846153846156,0.16,0.2376237623762376,75,26,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take04,spectral_flux,0.25,0.4,0.3076923076923077,75,120,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take04,superflux,0.2537313432835821,0.22666666666666666,0.23943661971830987,75,67,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_FullChoir_Take04,madmom_cnn,0.625,0.26666666666666666,0.37383177570093457,75,32,,,,,stm,8.0,220.0,75.0,TP,FullChoir
dagstuhl_choirset,DCS_TP_QuartetA_Take01,spectral_flux,0.4050632911392405,0.4266666666666667,0.4155844155844156,75,79,,,,,stm,4.0,220.0,75.0,TP,QuartetA
dagstuhl_choirset,DCS_TP_QuartetA_Take01,superflux,0.4166666666666667,0.26666666666666666,0.3252032520325203,75,48,,,,,stm,4.0,220.0,75.0,TP,QuartetA
dagstuhl_choirset,DCS_TP_QuartetA_Take01,madmom_cnn,0.6363636363636364,0.28,0.3888888888888889,75,33,,,,,stm,4.0,220.0,75.0,TP,QuartetA
dagstuhl_choirset,DCS_TP_QuartetA_Take02,spectral_flux,0.21794871794871795,0.22666666666666666,0.22222222222222218,75,78,,,,,stm,4.0,220.0,75.0,TP,QuartetA
dagstuhl_choirset,DCS_TP_QuartetA_Take02,superflux,0.2857142857142857,0.16,0.20512820512820512,75,42,,,,,stm,4.0,220.0,75.0,TP,QuartetA
dagstuhl_choirset,DCS_TP_QuartetA_Take02,madmom_cnn,0.6176470588235294,0.28,0.3853211009174312,75,34,,,,,stm,4.0,220.0,75.0,TP,QuartetA
