dataset,track_id,condition,snr_db,accomp,detector,precision,recall,f_measure,n_ref,n_est
vocadito,18,separated,-5.0,The Districts - Vermont,superflux,0.4,0.5333333333333333,0.4571428571428572,45,60
vocadito,18,separated,-5.0,The Districts - Vermont,madmom_cnn,0.574468085106383,0.6,0.5869565217391305,45,47
vocadito,18,mix,0.0,The Districts - Vermont,spectral_flux,0.1870967741935484,0.6444444444444445,0.29,45,155
vocadito,18,mix,0.0,The Districts - Vermont,superflux,0.21138211382113822,0.5777777777777777,0.30952380952380953,45,123
vocadito,18,mix,0.0,The Districts - Vermont,madmom_cnn,0.2698412698412698,0.7555555555555555,0.3976608187134503,45,126
vocadito,18,separated,0.0,The Districts - Vermont,spectral_flux,0.4642857142857143,0.5777777777777777,0.5148514851485149,45,56
vocadito,18,separated,0.0,The Districts - Vermont,superflux,0.54,0.6,0.5684210526315789,45,50
vocadito,18,separated,0.0,The Districts - Vermont,madmom_cnn,0.5490196078431373,0.6222222222222222,0.5833333333333334,45,51
vocadito,18,mix,5.0,The Districts - Vermont,spectral_flux,0.18840579710144928,0.5777777777777777,0.2841530054644809,45,138
vocadito,18,mix,5.0,The Districts - Vermont,superflux,0.22807017543859648,0.5777777777777777,0.3270440251572327,45,114
vocadito,18,mix,5.0,The Districts - Vermont,madmom_cnn,0.2786885245901639,0.7555555555555555,0.4071856287425149,45,122
vocadito,18,separated,5.0,The Districts - Vermont,spectral_flux,0.5294117647058824,0.6,0.5625,45,51
vocadito,18,separated,5.0,The Districts - Vermont,superflux,0.5416666666666666,0.5777777777777777,0.5591397849462364,45,48
vocadito,18,separated,5.0,The Districts - Vermont,madmom_cnn,0.5555555555555556,0.6666666666666666,0.606060606060606,45,54
vocadito,19,clean,,Patrick Talbot - Set Me Free,spectral_flux,0.5368421052631579,0.6986301369863014,0.6071428571428571,73,95
vocadito,19,clean,,Patrick Talbot - Set Me Free,superflux,0.5376344086021505,0.684931506849315,0.6024096385542167,73,93
vocadito,19,clean,,Patrick Talbot - Set Me Free,madmom_cnn,0.6206896551724138,0.7397260273972602,0.675,73,87
vocadito,19,mix,-5.0,Patrick Talbot - Set Me Free,spectral_flux,0.21962616822429906,0.6438356164383562,0.3275261324041812,73,214
vocadito,19,mix,-5.0,Patrick Talbot - Set Me Free,superflux,0.22596153846153846,0.6438356164383562,0.3345195729537367,73,208
vocadito,19,mix,-5.0,Patrick Talbot - Set Me Free,madmom_cnn,0.2627118644067797,0.8493150684931506,0.40129449838187703,73,236
vocadito,19,separated,-5.0,Patrick Talbot - Set Me Free,spectral_flux,0.4166666666666667,0.7534246575342466,0.5365853658536586,73,132
vocadito,19,separated,-5.0,Patrick Talbot - Set Me Free,superflux,0.5376344086021505,0.684931506849315,0.6024096385542167,73,93
vocadito,19,separated,-5.0,Patrick Talbot - Set Me Free,madmom_cnn,0.7727272727272727,0.6986301369863014,0.7338129496402879,73,66
vocadito,19,mix,0.0,Patrick Talbot - Set Me Free,spectral_flux,0.22477064220183487,0.6712328767123288,0.33676975945017185,73,218
vocadito,19,mix,0.0,Patrick Talbot - Set Me Free,superflux,0.23222748815165878,0.6712328767123288,0.3450704225352113,73,211
